date | value
2011-01-01 | 1
2011-01-01 | 5.5
2011-01-05 | 1
2011-01-05 | 5.5
2011-01-07 | 1
2011-01-07 | 5.5
2011-01-08 | 1
2011-01-08 | 5.5
2050-03-29 | 10
2050-03-29 | 100
2050-03-29 | 1000

2011-01-01 , 1
2011-01-01  1
2011-01-01 | 1                x
2001-01-03 | 1
2012-01-11 | -0.000000000000001
2012-01-11 | 214748364845645754
2015-01-10 | 1001
2015-01-27 | abc
2015-01-27 | 4a4
2015-01-27 | 4.4.4
2015-01-27 | 4
2015-01-27 | 4.4
201X-01-27 | 999
2015-01-27X | 999
2015-01-00 | 999
2015-13-27 | 999
2015-00-27 | 999
2019-02-29 | 7
2020-02-29 | 7
